Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP_getPlaylistsByMusica,2133,0,6,56.0353599835901,2.614559999983612,7539.053138999861,660.0,11.874025906402581,0.0,6,9,11,12,16,22,36,1500,7500,7500,7500
POST,SOAP_getPlaylistsByUsuario,2195,0,6,55.080475033257954,2.4866730000212556,6516.222102000029,361.0,12.219168712870918,0.0,6,9,10,12,16,23,44,1400,6500,6500,6500
POST,SOAP_getTodasMusicas,2179,0,21,65.43210195044456,9.227860000009969,6606.574376000026,114042.0,12.13009960152425,0.0,21,32,37,41,55,67,93,1500,6500,6600,6600
POST,SOAP_getTodosUsuarios,2123,0,20,71.7344055534668,9.278562999952555,6578.927743000349,104144.0,11.818357711810915,0.0,20,30,37,41,55,71,98,1600,5800,6600,6600
,Aggregated,8630,0,12,62.0270867535375,2.4866730000212556,7539.053138999861,54669.22421784473,48.041651932608666,0.0,12,18,23,29,43,58,84,1500,6500,7500,7500
