Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Post imagem 1MB,2105,0,570,763.8310139268416,155.39414900001702,4595.917054999973,31863.0,17.811307694392557,0.0,570,750,900,1000,1500,2000,3000,3700,4600,4600,4600
GET,Post imagem 300KB,2165,0,550,708.4308085999988,158.42895600002294,4563.095913999973,31250.0,18.318993424398997,0.0,550,710,840,960,1300,1700,2300,3100,4300,4600,4600
GET,Post texto 400KB,2183,0,580,749.153337136051,168.8112740000065,4615.738171999965,439442.0,18.471299143400927,0.0,580,750,890,1000,1400,1800,2700,3200,4500,4600,4600
,Aggregated,6453,0,570,740.2787416555093,155.39414900001702,4615.738171999965,169538.1607004494,54.601600262192484,0.0,570,740,870,1000,1400,1900,2600,3500,4500,4600,4600
