Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,instancias,max_usuarios,usuarios_por_segundo,tempo_teste(m),tipo_carga,porcentagem_erro
GET,/?p=11,1413,0,1600,1600,82.86814399980358,3833.5366880000947,31055.0,11.608594732510365,0.0,1600,1800,2000,2100,2400,2700,3000,3100,3500,3800,3800,3,150,75,2,leve,0
GET,/?p=14,1464,0,1600,1587,105.33611299979384,4185.119299998405,30746.0,12.027588597590356,0.0,1600,1800,1900,2100,2400,2700,3100,3300,4100,4200,4200,3,150,75,2,leve,0
GET,/?p=8,1443,0,3400,3385,182.78890500005218,8060.736477000319,437274.0,11.855061711969183,0.0,3400,3800,4100,4400,4900,5400,6000,6400,7600,8100,8100,3,150,75,2,leve,0
GET,/?p=11,3166,1451,1500,1830.9601558464904,4.691578998972545,8449.16169499993,18034.956096020214,22.934678059489972,10.51112377268476,1500,2900,3300,3600,4300,4900,5500,6000,7600,8400,8400,4,300,150,2,media,46
GET,/?p=14,3106,1451,1300,1765.6392763457786,5.051496000305633,8131.414949999453,17618.794591113972,22.50003476082623,10.51112377268476,1300,2800,3300,3500,4200,4800,5500,6000,7300,8100,8100,4,300,150,2,media,46
GET,/?p=8,3098,1476,2600,3454.00124757812,4.548491000605281,13787.064054000439,230201.39573918658,22.4420823210044,10.692225147127985,2600,5500,6600,7200,8500,9500,11000,12000,14000,14000,14000,4,300,150,2,media,46
GET,/?p=11,8089,7192,840,2688.9788937997455,1.3692259999515954,27843.049323999367,5393.409197675856,68.09054456486496,60.53989325139186,840,2200,3400,5000,8500,11000,14000,19000,23000,28000,28000,5,1500,75,2,pesado,81
GET,/?p=14,8375,7451,870,2701.888664810265,1.472234998800559,60369.90648000028,5326.717970149254,70.49799860684188,62.7200701635318,870,2100,3400,5100,8400,11000,14000,19000,23000,60000,60000,5,1500,75,2,pesado,81
GET,/?p=8,7968,7120,820,3069.85922694151,1.2510500000644242,32165.748511000857,48482.96347891566,67.07200631633626,59.933820905159905,830,2200,3500,5400,9700,13000,20000,22000,28000,32000,32000,5,1500,75,2,pesado,81
