Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?p=11,3166,1451,1500,1830.9601558464904,4.691578998972545,8449.16169499993,18034.956096020214,22.934678059489972,10.51112377268476,1500,2900,3300,3600,4300,4900,5500,6000,7600,8400,8400
GET,/?p=14,3106,1451,1300,1765.6392763457786,5.051496000305633,8131.414949999453,17618.794591113972,22.50003476082623,10.51112377268476,1300,2800,3300,3500,4200,4800,5500,6000,7300,8100,8100
GET,/?p=8,3098,1476,2600,3454.00124757812,4.548491000605281,13787.064054000439,230201.39573918658,22.4420823210044,10.692225147127985,2600,5500,6600,7200,8500,9500,11000,12000,14000,14000,14000
,Aggregated,9370,4378,1600,2345.932904027442,4.548491000605281,13787.064054000439,88045.52518676627,67.8767951413206,31.714472692497502,1600,3200,3900,4400,6200,7800,9300,10000,13000,14000,14000
