Method,Name,Error,Occurrences
GET,Post imagem 1MB,RemoteDisconnected('Remote end closed connection without response'),9435
GET,Post imagem 1MB,HTTPError('500 Server Error: Internal Server Error for url: Post imagem 1MB'),2881
GET,Post imagem 1MB,"ConnectionResetError(104, 'Connection reset by peer')",52
GET,Post imagem 300KB,"ConnectionResetError(104, 'Connection reset by peer')",55
GET,Post imagem 300KB,RemoteDisconnected('Remote end closed connection without response'),9490
GET,Post texto 400KB,"ConnectionResetError(104, 'Connection reset by peer')",63
GET,Post imagem 300KB,HTTPError('500 Server Error: Internal Server Error for url: Post imagem 300KB'),2802
GET,Post texto 400KB,RemoteDisconnected('Remote end closed connection without response'),9503
GET,Post texto 400KB,HTTPError('500 Server Error: Internal Server Error for url: Post texto 400KB'),2772
