carga,linguagem,tipo_api,R,usuarios,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
leve,java,grpc,musica,100,GET,MusicaService.TodasAsMusicas,685,9,245.238777,254.56063148759125,13.648744,803.676206,0,322.9563983530184,4.243222752083454,245.238777,328.20271984,374.155385,396.864678,444.7245096,491.4762809999999,528.7172599999993,560.9515595999999,728.1204654440035,796.1206319443878,803.676206
leve,java,grpc,playlist,100,POST,PlaylistService.PlaylistsPorMusica,4923,41,25.505399,28.45341301604713,1.613804,144.608145,0,2455.3580189023573,20.448848014421422,25.505399,30.59342912,35.075684499999994,38.73519820000001,48.340960800000005,58.61214589999999,74.96895835999997,84.87398755999986,136.74739054400007,142.80834974519783,144.608145
leve,java,grpc,usuario,100,GET,UsuarioService.TodosUsuarios,1077,0,134.609181,148.76562985701023,7.591849,478.854928,0,528.4360726539034,0.0,134.609181,180.14767668000002,210.357187,223.84447280000006,263.01047220000004,295.38088239999996,339.7497200000002,371.06991828,472.24062536400044,478.1599445495997,478.854928
leve,kotlin,grpc,musica,100,GET,MusicaService.TodasAsMusicas,1101,0,124.730857,140.89693900635788,7.479276,470.46329,0,534.8737006714224,0.0,124.730857,158.01045,182.750288,201.631787,245.409296,279.455208,332.523127,368.543882,413.07097130000227,464.42608222999297,470.46329
leve,kotlin,grpc,playlist,100,POST,PlaylistService.PlaylistsPorMusica,3371,32,40.85742,46.21728306763572,3.586711,307.106812,0,1666.9928404452576,15.824316491915823,40.85742,48.4930954,55.274365,60.787158,76.920249,93.29293799999999,112.6090948,123.02609910000002,281.58454716000085,302.1335739289934,307.106812
leve,kotlin,grpc,usuario,100,GET,UsuarioService.TodosUsuarios,1526,97,94.930274,96.7152937785059,0.893886,273.293713,0,759.5669813167079,48.28178059483661,94.930274,113.42772049999999,124.28308375,131.028686,156.85931499999998,191.067105,226.255576,243.862359,267.0509869000011,272.9785563474997,273.293713
medio,java,grpc,musica,200,GET,MusicaService.TodasAsMusicas,1495,0,173.512556,193.7678073284281,14.377169,678.174762,0,719.5408691630831,0.0,173.512556,216.4658392,245.738091,270.9430056,345.1845940000001,383.6228893,420.7264435599998,467.35982757999983,673.6906983340001,677.6168870117991,678.174762
medio,java,grpc,playlist,200,POST,PlaylistService.PlaylistsPorMusica,6791,7,32.065801,35.44806498453836,0.847843,113.846488,0,3358.7433353655615,3.462112111258862,32.065801,40.16169920000001,45.9516005,51.15436,63.51657,71.6642375,82.5148564,86.0727853,102.92211062000037,110.74927702999545,113.846488
medio,java,grpc,usuario,200,GET,UsuarioService.TodosUsuarios,1950,30,163.94769300000002,166.14437782205127,10.397938,438.264689,0,940.7123830883435,14.47249820135913,163.94769300000002,189.42389494000003,207.7749105,216.12197799999998,247.59261690000002,300.0099155499999,363.6968241199999,391.69843641999995,425.1050319650002,435.9102112439977,438.264689
medio,kotlin,grpc,musica,200,GET,MusicaService.TodasAsMusicas,1588,114,185.88347750000003,178.127130115869,6.056454,539.123328,0,759.5893273604995,54.529712417567346,185.88347750000003,227.27492758,253.94791225,268.1923574,296.9015276,319.72196809999997,346.66307286,378.31463815999933,487.07736839700283,531.9854639756919,539.123328
medio,kotlin,grpc,playlist,200,POST,PlaylistService.PlaylistsPorMusica,4789,60,56.786483,59.12235060973063,2.329216,234.181114,0,2362.7096378633246,29.601707720150237,56.786483,66.46072008,73.231911,79.05666500000001,92.89674419999999,113.54242919999999,125.51264495999997,148.64233831999996,218.98773663600107,234.01922645319974,234.181114
medio,kotlin,grpc,usuario,200,GET,UsuarioService.TodosUsuarios,1818,200,162.8654575,170.58418249339934,6.905867,484.990743,0,907.1400223231591,99.79538199374687,162.8654575,197.56035386,223.4287565,241.2713510000001,285.79603669999995,321.13029595,359.6244226599997,408.9201172699997,473.3447492230017,484.0248303424995,484.990743
pesado,java,grpc,musica,300,GET,MusicaService.TodasAsMusicas,2084,4,203.40777500000002,239.94876895009597,2.508048,883.159307,0,948.1480329711126,1.8198618675069338,203.40777500000002,257.95703624,299.70262425,347.091744,431.9097762,493.6571134499999,607.3196428199999,678.1490090000001,772.1168715370109,871.0291104336862,883.159307
