linguagem,tipo_api,carga,usuarios,spawn_rate,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
kotlin,rest,leve,100,15,POST,playlist-usuario,721,0,5,74.83226185992024,2.216256999986399,4144.144231000041,279.0,12.15432211297022,0.0,5,8,9,10,17,380,730,2100,4100,4100,4100
kotlin,rest,leve,100,15,GET,todas-musicas,683,0,9,79.13523274670513,3.332960999955503,2838.066118000029,54732.0,11.513733707570957,0.0,9,15,19,22,48,490,1200,2200,2800,2800,2800
kotlin,rest,leve,100,15,GET,todos-usuarios,671,0,58,233.4642782682542,26.549134999982016,5086.983244000066,344565.0,11.311442632181716,0.0,58,86,120,140,430,1300,2700,3100,5100,5100,5100
kotlin,rest,leve,100,15,,Aggregated,2679,0,10,127.69242148115114,2.216256999986399,5086.983244000066,100641.48637551324,45.16148258064801,0.0,10,25,39,53,150,670,1700,2900,4600,5100,5100
java,soap,pesado,300,75,POST,SOAP_getPlaylistsByMusica,2248,0,4,13.703290739323297,2.4279860000433477,548.242230000028,460.0,37.98521052872491,0.0,4,6,7,9,17,40,170,210,550,550,550
java,soap,pesado,300,75,POST,SOAP_getPlaylistsByUsuario,2139,0,4,13.899611668070325,2.413133000004564,536.8831329999466,359.0,36.14340094347981,0.0,4,6,7,9,15,40,180,210,520,540,540
java,soap,pesado,300,75,POST,SOAP_getTodasMusicas,2146,0,16,32.49347890820233,8.892627000022912,762.8321739999819,113923.0,36.26168229299096,0.0,16,20,24,28,45,71,270,400,730,760,760
java,soap,pesado,300,75,POST,SOAP_getTodosUsuarios,2155,0,17,33.56327963108997,8.968913999979122,761.2566589999687,104036.0,36.41375831379101,0.0,17,21,25,29,49,84,280,380,730,760,760
java,soap,pesado,300,75,,Aggregated,8688,0,11,23.31907692011992,2.413133000004564,762.8321739999819,54152.6610267035,146.80405207898667,0.0,11,15,18,21,35,69,210,340,720,760,760
java,graphql,pesado,300,75,POST,playlistsDoUsuario,1776,0,4,7.709301640203549,1.7590869999821734,110.22897899999862,91.0,30.020831877110343,0.0,4,5,7,7,12,17,76,88,110,110,110
java,graphql,pesado,300,75,POST,playlistsPorMusica,3563,0,4,7.511084905135823,1.7660239999486294,111.31115299997418,91.0,60.22760359129738,0.0,4,5,7,8,11,17,73,87,110,110,110
java,graphql,pesado,300,75,POST,todasAsMusicas,1637,0,4,7.347758891876024,1.8119869999964069,105.7209979999243,91.0,27.671228481322988,0.0,4,5,7,7,10,17,70,89,100,110,110
java,graphql,pesado,300,75,POST,todosUsuarios,1831,0,4,7.407490012560727,1.8333499999698688,103.12152599999536,91.0,30.950531062493827,0.0,4,5,7,8,11,15,74,86,100,100,100
