Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Post imagem 1MB,1206,242,880,1256.2777520124341,10.143035000055534,5344.114825999895,24874.752902155888,20.349189478542694,4.0833365288618015,890,1500,2000,2600,3100,3500,3800,4200,5100,5300,5300
GET,Post imagem 300KB,1299,264,860,1228.9927247659748,7.559069000080854,4980.081690000134,24603.29792147806,21.91840558260942,4.454548940576511,860,1400,2000,2500,3100,3400,3900,4200,4800,5000,5000
GET,Post texto 400KB,1103,226,2300,3264.913205017222,6.431023000004643,11184.857898000018,347784.06255666364,18.611240460060195,3.8133638657965583,2300,3900,5200,6900,8600,9400,9800,10000,11000,11000,11000
,Aggregated,3608,732,1100,1860.5132437727245,6.431023000004643,11184.857898000018,123493.47477827051,60.87883552121231,12.35124933523487,1100,2000,2800,3100,4300,7700,9200,9600,11000,11000,11000
