Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Post imagem 1MB,1007,0,420,447.3436213416101,29.546591000098488,1305.8258019999585,30455.0,17.023946919755716,0.0,420,530,600,650,760,870,990,1000,1300,1300,1300
GET,Post imagem 300KB,1012,0,400,428.250142844866,28.99594400003025,1423.3548639999754,30204.0,17.10847495808618,0.0,400,500,580,630,760,860,970,1000,1300,1400,1400
GET,Post texto 400KB,1003,0,1200,1160.4370013758746,68.70659899993825,2954.170275000024,436725.0,16.956324489091344,0.0,1200,1400,1600,1700,2000,2200,2400,2700,2900,3000,3000
,Aggregated,3022,0,520,677.6249118563883,28.99594400003025,2954.170275000024,165211.71674387823,51.088746366933236,0.0,520,710,870,1000,1500,1800,2200,2300,2900,3000,3000
