Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Imagem 1MB,5653,0,20,23.512378239343366,7.73469700015994,145.99024699964502,1030845.0,114.9116603399359,0.0,20,23,25,27,32,53,91,100,140,150,150
,Aggregated,5653,0,20,23.512378239343366,7.73469700015994,145.99024699964502,1030845.0,114.9116603399359,0.0,20,23,25,27,32,53,91,100,140,150,150
