Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,MusicaService/TodasAsMusicas,6507,0,4,4.676868808672361,1.888036000309512,19.286422999357455,29685.0,36.37375881474376,0.0,4,5,6,7,8,9,10,10,15,19,19
gRPC,PlaylistService/PlaylistsPorMusica,6678,0,1,1.6600288808003345,0.6098510002630064,9.77880299979006,108.0,37.32963906022112,0.0,1,2,2,2,3,3,3,4,6,10,10
gRPC,PlaylistService/PlaylistsPorUsuario,6669,0,1,1.5652120617738552,0.5458449995785486,11.815633999503916,33.0,37.27932957361705,0.0,1,2,2,2,3,3,3,3,5,12,12
gRPC,UsuarioService/TodosUsuarios,6782,0,4,4.510882402537412,1.8289069994352758,50.88277899994864,19784.0,37.910993127645945,0.0,4,5,6,7,8,8,9,10,14,51,51
,Aggregated,26636,0,2,3.099161356735022,0.5458449995785486,50.88277899994864,12324.548881213395,148.89372057622788,0.0,2,3,4,4,7,8,9,9,14,19,51
