Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,playlistsDoUsuario,2179,0,4,7.263348816430807,1.7763060000106634,96.45635700007915,91.0,36.836586830892635,0.0,4,5,6,8,11,16,76,83,94,96,96
POST,playlistsPorMusica,2161,0,4,7.419910258675647,1.7713729998831695,98.12445499983369,91.0,36.532291941972915,0.0,4,5,7,7,11,16,79,86,97,98,98
POST,todasAsMusicas,2251,0,4,7.772960510882824,1.749370999959865,97.63411099993391,91.0,38.05376638657151,0.0,4,5,7,8,11,17,78,85,93,98,98
POST,todosUsuarios,2150,0,4,7.280561634420971,1.7821179999373271,97.28718399992431,91.0,36.34633395429975,0.0,4,5,6,7,11,16,75,83,94,97,97
,Aggregated,8741,0,4,7.437524855737712,1.749370999959865,98.12445499983369,91.0,147.7689791137368,0.0,4,5,6,7,11,16,77,84,96,98,98
