Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Post imagem 1MB,1024,0,370,354.5766343593748,26.318729000024632,912.8181429999813,30455.0,17.318518332256968,0.0,370,420,450,470,530,570,630,660,860,910,910
GET,Post imagem 300KB,1062,0,360,346.71066442090324,27.82021299998405,741.5436620000264,30204.0,17.96119772349307,0.0,360,410,440,460,520,560,600,660,740,740,740
GET,Post texto 400KB,1076,0,1000,992.5335066895913,65.99667099999351,2015.7666260000155,436725.0,18.197974341316893,0.0,1000,1200,1300,1300,1500,1500,1600,1700,1800,2000,2000
,Aggregated,3162,0,430,569.025696520241,26.318729000024632,2015.7666260000155,168620.7046173308,53.47769039706693,0.0,430,540,770,960,1300,1400,1500,1600,1800,2000,2000
