Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Post texto 400KB,11618,1529,1300,1343.621980531607,64.27537099807523,4258.286354997836,381972.63065932173,97.40696003046138,12.819352890908542,1300,1700,1900,2100,2500,2900,3300,3500,3900,4200,4300
,Aggregated,11618,1529,1300,1343.621980531607,64.27537099807523,4258.286354997836,381972.63065932173,97.40696003046138,12.819352890908542,1300,1700,1900,2100,2500,2900,3300,3500,3900,4200,4300
