Teste,Usuarios,Instancias,Requisicoes,Falhas,Erro,TempoMedio,Mediana,P95,RPS
Carga leve,150,1,33122,0,0.0,120.5321603451156,93.75,282.5,69.32364251584423
Carga leve,150,2,33112,0,0.0,122.1348255238254,98.75,285.0,69.27610787504948
Carga leve,150,3,32808,0,0.0,148.66501892954673,107.5,377.5,68.54270281549103
Carga média,250,1,51416,0,0.0,228.50432976206065,147.5,620.0,107.71917521045887
Carga média,250,2,50207,0,0.0,285.73965931517034,195.0,807.5,105.03350449827239
Carga média,250,3,43823,142,0.3240307601031422,619.1295438500077,450.0,1650.0,91.96935724268594
Carga pesada,350,1,48872,0,0.0,1331.5083680073765,887.5,3700.0,102.2099681251823
Carga pesada,350,2,48870,4075,8.338448946183753,1193.7181759061436,1045.0,2725.0,102.26520650107574
Carga pesada,350,3,52616,3283,6.239546905884142,991.4136421235062,815.0,2450.0,110.17204786160576
