Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Post imagem 1MB,4256,271,780,992.8052146059562,58.67660500007332,4941.197398999066,30010.190319548874,35.60641482823524,2.2672317712527605,780,1100,1300,1500,2000,2600,3900,4400,4900,4900,4900
GET,Post imagem 300KB,4299,317,780,977.509545069835,63.280997001129435,4881.535188997077,29149.57083042568,35.96616009083254,2.652075540542897,780,1100,1300,1400,1900,2500,3800,4200,4700,4900,4900
GET,Post texto 400KB,4527,333,800,1010.3010168458085,55.89298199993209,5125.226012001804,407320.6302186879,37.873646599488,2.7859342429046836,800,1100,1300,1500,2100,2600,3800,4400,5000,5100,5100
,Aggregated,13082,921,790,993.8331471395171,55.89298199993209,5125.226012001804,160294.89894511542,109.44622151855576,7.705241554700341,790,1100,1300,1500,2000,2600,3800,4300,4900,5100,5100
