Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,playlist-musica,153,0,51,455.66199861436866,6.785111000681354,4781.847584999923,1304.0,10.955997312289055,0.0,51,91,140,230,1700,2800,3800,4700,4800,4800,4800
POST,playlist-usuario,137,0,44,110.84535535769812,4.870269999628363,1396.7163070001334,218.0,9.810272103160788,0.0,44,64,93,120,270,410,1400,1400,1400,1400,1400
GET,todas-musicas,119,0,78,153.35948411761095,6.971398000132467,1147.9067089994714,10673.0,8.521331242891488,0.0,78,110,170,210,300,490,1100,1100,1100,1100,1100
GET,todos-usuarios,118,0,260,497.44904514405573,49.81393100024434,2906.980052000108,56778.0,8.449723417320971,0.0,270,410,520,600,1300,1900,2700,2800,2900,2900,2900
,Aggregated,527,0,83,307.11739166792677,4.870269999628363,4781.847584999923,15558.385199240987,37.7373240756623,0.0,83,160,240,300,700,1600,2800,3700,4800,4800,4800
