Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP_getPlaylistsByMusica,706,0,7,40.0404156982996,3.287007999972502,3113.4355309999933,460.0,11.927866612265019,0.0,7,10,12,13,19,34,92,1100,3100,3100,3100
POST,SOAP_getPlaylistsByUsuario,683,0,7,15.695715464130398,3.230038000026525,567.9807099999721,359.0,11.539281722630323,0.0,7,10,12,13,18,31,80,200,570,570,570
POST,SOAP_getTodasMusicas,734,0,21,44.965425452316985,9.889394000026641,1852.282917000025,113923.0,12.400926477907259,0.0,21,31,38,43,62,86,230,510,1900,1900,1900
POST,SOAP_getTodosUsuarios,707,0,21,51.80680282602547,10.129090000020824,1822.2174010000458,104036.0,11.944761607466528,0.0,21,31,39,43,62,82,200,830,1800,1800,1800
,Aggregated,2830,0,13,38.38188658127246,3.230038000026525,3113.4355309999933,55739.53745583039,47.81283642026913,0.0,13,18,25,31,47,68,130,560,3100,3100,3100
